股票,2015年4月,2015年5月,2015年6月,2015年7月,2015年8月,2015年9月,2015年10月,2015年11月,2015年12月,2016年1月,2016年2月,2016年3月
神剑股份,0,2,1,0,2,0,0,0,0,0,0,0
汉王科技,0,0,0,1,0,0,0,0,0,0,0,0
隆基机械,2,0,3,0,3,0,2,0,0,2,0,0
中恒电气,6,0,3,3,3,1,8,2,7,2,5,12
永安药业,0,2,3,2,4,1,2,0,0,1,0,1
台海核电,1,2,1,0,0,1,1,1,0,0,0,1
康力电梯,4,1,0,0,2,3,4,1,0,0,2,9
七星电子,0,0,0,0,0,0,0,0,1,3,0,4
伟星新材,17,2,1,4,9,1,9,0,0,0,6,1
千方科技,6,4,2,6,8,2,5,4,1,0,3,1
丽鹏股份,2,0,0,1,0,0,0,0,0,1,0,0
亚厦股份,12,5,1,16,8,0,3,5,2,3,5,1
新北洋,0,0,3,0,2,1,2,0,2,0,1,0
国创高新,0,0,0,0,0,0,0,0,0,0,0,0
章源钨业,1,1,0,2,1,0,0,0,0,0,0,0
科远股份,2,4,1,3,9,0,5,4,9,3,4,10
双箭股份,3,1,0,4,1,0,2,2,0,2,0,4
蓝帆医疗,0,0,0,0,0,0,0,0,2,0,1,0
大北农,16,6,0,9,10,0,8,0,1,0,8,3
天原集团,0,0,0,0,0,0,0,0,0,0,0,0
黑牛食品,3,0,3,1,1,1,0,0,1,0,0,0
新亚制程,0,0,0,0,0,0,0,0,0,0,0,0
南洋科技,0,0,0,0,1,1,3,0,1,0,2,0
信邦制药,5,4,7,2,3,0,0,2,1,3,5,0
长青股份,2,0,0,0,0,0,0,0,0,0,0,0
北京利尔,1,3,1,0,3,0,1,0,0,0,0,0
力生制药,0,0,0,0,1,0,0,0,0,0,0,0
联发股份,2,0,0,0,3,0,1,0,3,1,2,0
双象股份,0,0,0,0,0,0,0,1,1,0,2,2
星网锐捷,7,1,2,1,4,0,1,1,1,0,0,0
梦洁家纺,13,1,0,1,3,0,2,0,0,3,5,4
建研集团,7,4,3,6,1,1,5,1,0,0,2,5
海普瑞,0,0,0,0,0,0,0,0,0,0,0,0
省广股份,8,0,5,0,2,0,4,0,2,1,1,13
中海科技,0,0,0,0,1,0,0,0,0,0,0,0
和而泰,4,1,3,2,1,0,2,0,0,4,5,1
爱仕达,7,0,0,0,3,0,0,3,0,0,1,1
嘉欣丝绸,1,0,0,0,0,0,0,0,1,0,0,0
四维图新,4,1,2,2,3,1,5,1,1,4,3,1
远东传动,2,0,1,0,0,0,0,0,1,0,4,1
多氟多,2,5,0,1,3,5,4,4,3,1,5,8
齐翔腾达,1,2,3,1,4,0,1,0,0,0,0,4
广联达,3,2,3,3,3,1,4,2,0,0,2,8
必康股份,0,0,0,0,0,0,0,0,0,1,0,1
高德红外,1,0,0,0,1,2,3,3,1,0,4,1
