szr2,media.su,media.ft,zongher2,su.xuni,gongju,guba
0.476334,1,6,0.5292,1,84.2,0.018972296
0.61422,1,16,0.5742,1,86.53,0.023875509
0.583672,2,11,0.6214,1,86.53,0.017482734
0.21509,1,7,0.6154,1,86.53,0.026010106
0.26523,0,6,0.5827,0,86.62,0.012026874
0.598624,2,9,0.4965,1,86.62,0.008900741
0.301043,1,14,0.2938,1,86.62,0.005819025
0.684989,1,6,0.7181,1,82.41,0.006337759
0.776709,2,8,0.6537,1,82.41,0.005478162
0.447194,2,13,0.6127,1,82.41,0.022589369
0.201083,1,2,0.342,1,48.31,0.024626184
0.169411,1,7,0.3995,1,48.31,0.015129423
0.314541,0,8,0.5292,0,48.31,0.018603972
0.455043,2,16,0.5742,1,53.44,0.032720985
0.46524,4,6,0.6214,1,53.44,0.044852685
NA,3,8,0.6154,1,53.44,0.0231116
NA,6,7,0.5827,1,58.13,0.019233572
NA,4,3,0.4965,1,58.13,0.005729606
0.035435,8,8,0.2938,1,58.13,0.021085362
0.319477,5,14,0.7181,1,74.2,0.106950395
0.480727,3,14,0.6537,1,74.2,0.024318817
0.605454,6,4,0.6127,1,74.2,0.019975126
0.664911,0,2,0.342,0,52.96,0.017404735
NA,0,2,0.3995,0,52.96,0.028916681
0.552239,0,2,0.5292,0,52.96,0.012315284
0.636646,0,1,0.5742,0,58.37,0.014605541
0.658962,0,3,0.6214,0,58.37,0.012342289
0.840401,0,1,0.6154,0,58.37,0.020767229
0.686404,0,0,0.5827,0,56.48,0.013873392
0.307602,0,2,0.4965,0,56.48,0.040811594
0.034917,0,1,0.2938,0,56.48,0.008168932
0.850113,0,1,0.7181,0,53.65,0.022214093
0.95882,0,1,0.6537,0,53.65,0.005324243
0.778212,0,0,0.6127,0,53.65,0.012370593
0.614311,0,3,0.342,0,0,0.011830264
0.477678,0,0,0.3995,0,0,0.007737332
0.603602,0,3,0.5292,0,0,0.011126422
0.857579,0,4,0.5742,0,66.01,0.032280834
0.873847,0,2,0.6214,0,66.01,0.011171904
0.866902,1,4,0.6154,1,66.01,0.02115645
0.62418,0,0,0.5827,0,32.535,0.021687275
0.53667,0,2,0.4965,0,32.535,0.034687872
0.486653,0,4,0.2938,0,32.535,0.005042308
0.889381,0,4,0.7181,0,29.45,0.006874538
0.802546,0,5,0.6537,0,29.45,0.012535824
0.595448,0,7,0.6127,0,29.45,0.012946884
0.348014,0,2,0.342,0,30.85,0.016229414
0.525235,0,0,0.3995,0,30.85,0.00350999
0.668998,0,0,0.5292,0,30.85,0.008060023
0.794602,0,1,0.5742,0,31,0.008681713
0.902273,0,0,0.6214,0,31,0.006799083
0.882798,0,1,0.6154,0,31,0.011446949
0.441329,0,2,0.5827,0,33.3,0.011516153
0.281208,0,0,0.4965,0,33.3,0.005523176
0.121439,0,2,0.2938,0,33.3,0.002565552
0.76131,0,0,0.7181,0,33.51,0.002448735
0.662562,0,0,0.6537,0,33.51,0.011538393
0.510381,0,0,0.6127,0,33.51,0.005478158
0.26534,0,0,0.342,0,32.54,0.003018719
0.463549,0,0,0.3995,0,32.54,0.003693097
0.591896,0,0,0.5292,0,32.54,0.004955751
0.599689,0,0,0.5742,0,67.87,0.00649531
0.678788,0,0,0.6214,0,67.87,0.004089525
0.546416,0,0,0.6154,0,67.87,0.00988577
0.70904,0,1,0.5827,0,68,0.005396363
0.278578,0,4,0.4965,0,68,0.003090141
0.232777,0,3,0.2938,0,68,0.00247942
0.645243,0,0,0.7181,0,68.89,0.002135358
0.581433,0,1,0.6537,0,68.89,0.004188065
0.50803,0,3,0.6127,0,68.89,0.008625151
0.241437,0,1,0.342,0,34.55,0.008383715
0.775212,0,0,0.3995,0,34.55,0.012121112
0.057269,1,4,0.5292,1,34.55,0.013176249
0.616333,0,3,0.5742,0,33.55,0.020476633
0.78418,0,1,0.6214,0,33.55,0.023589002
0.760247,0,3,0.6154,0,33.55,0.012419356
0.508776,0,2,0.5827,0,33.52,0.027638666
NA,0,4,0.4965,0,33.52,0.02789462
NA,0,0,0.2938,0,33.52,0.002237394
NA,0,0,0.7181,0,33.66,0.001893553
NA,0,2,0.6537,0,33.66,0.020664846
0.265885,0,0,0.6127,0,33.66,0.032837129
0.594986,2,5,0.342,1,41.52,0.028519996
0.572062,0,3,0.3995,0,41.52,0.018622443
0.537694,1,4,0.5292,1,41.52,0.033343878
0.60834,0,0,0.5742,0,44.87,0.035966036
0.804928,1,2,0.6214,1,44.87,0.031637943
0.876247,0,1,0.6154,0,44.87,0.020962263
0.689716,4,6,0.5827,1,45.59,0.062621313
0.507626,4,6,0.4965,1,45.59,0.020258075
0.200647,5,10,0.2938,1,45.59,0.027811051
0.866374,3,4,0.7181,1,46.09,0.010291414
0.402758,1,4,0.6537,1,46.09,0.027212955
0.491032,6,11,0.6127,1,46.09,0.034294151
0.259358,1,78,0.342,1,67.63,0.067786815
0.497701,3,113,0.3995,1,67.63,0.106044854
0.630371,2,115,0.5292,1,67.63,0.075196177
0.809839,3,112,0.5742,1,72.86,0.091055052
0.747093,6,122,0.6214,1,72.86,0.086762342
0.273848,5,108,0.6154,1,72.86,0.090516157
0.774403,5,86,0.5827,1,66.82,0.16779744
0.617619,5,91,0.4965,1,66.82,0.095257673
0.119655,8,115,0.2938,1,66.82,0.091802216
0.73633,4,100,0.7181,1,68.62,0.056908695
0.788302,2,34,0.6537,1,68.62,0.030043283
0.843004,4,65,0.6127,1,68.62,0.057966751
NA,1,1,0.342,1,77.16,0.011817265
NA,3,3,0.3995,1,77.16,0.018321876
0.382233,1,6,0.5292,1,77.16,0.042689951
0.782847,0,11,0.5742,0,81.14,0.036172822
0.62874,2,8,0.6214,1,81.14,0.038217541
0.827522,2,6,0.6154,1,81.14,0.055818693
0.37864,3,4,0.5827,1,79.52,0.068931066
0.518644,2,4,0.4965,1,79.52,0.046163101
0.462469,2,6,0.2938,1,79.52,0.010631314
0.939289,1,0,0.7181,1,79.23,0.009247005
0.922151,3,0,0.6537,1,79.23,0.003977848
0.665594,2,1,0.6127,1,79.23,0.011401515
0.134096,3,1,0.342,1,53.58,0.100013704
0.638754,1,1,0.3995,1,53.58,0.113330132
0.852099,1,2,0.5292,1,53.58,0.0488187
0.499356,4,3,0.5742,1,57.43,0.101539092
0.89964,0,1,0.6214,0,57.43,0.046504189
0.790436,0,1,0.6154,0,57.43,0.059943129
0.771299,2,4,0.5827,1,56.66,0.064798117
0.723186,2,0,0.4965,1,56.66,0.052890287
0.345996,0,0,0.2938,0,56.66,0.066813818
0.861274,3,2,0.7181,1,57.27,0.038535196
0.903902,0,2,0.6537,0,57.27,0.032352928
NA,1,0,0.6127,1,57.27,0.051916984
0.16201,0,9,0.342,0,62.14,0.023200132
0.318328,0,3,0.3995,0,62.14,0.023215384
0.181718,0,7,0.5292,0,62.14,0.024024705
0.820074,1,10,0.5742,1,68.32,0.04645724
0.623397,0,7,0.6214,0,68.32,0.019527777
0.40555,0,8,0.6154,0,68.32,0.01573832
0.666678,0,16,0.5827,0,67.97,0.028391315
0.583404,0,7,0.4965,0,67.97,0.014737129
0.226523,0,15,0.2938,0,67.97,0.012169736
0.827601,0,4,0.7181,0,71.38,0.004509546
0.723741,0,3,0.6537,0,71.38,0.005409316
0.581029,0,5,0.6127,0,71.38,0.004566615
0.051104,1,0,0.342,1,54.82,0.030301382
0.412401,0,0,0.3995,0,54.82,0.025028097
0.776821,0,0,0.5292,0,54.82,0.010354671
0.37369,0,1,0.5742,0,55.67,0.024472886
0.710199,0,0,0.6214,0,55.67,0.025905905
0.51328,0,0,0.6154,0,55.67,0.040131646
0.331601,0,0,0.5827,0,57.72,0.065896706
0.64091,0,0,0.4965,0,57.72,0.02254026
0.147462,0,0,0.2938,0,57.72,0.006013471
0.839653,0,0,0.7181,0,58.06,0.007093948
0.623907,0,0,0.6537,0,58.06,0.008893848
0.778696,0,0,0.6127,0,58.06,0.009532112
0.326338,0,5,0.342,0,33.17,0.058126877
0.366322,0,3,0.3995,0,33.17,0.023998054
0.834957,1,9,0.5292,1,33.17,0.022125194
0.803924,0,6,0.5742,0,33.32,0.015955857
0.610196,0,2,0.6214,0,33.32,0.022086192
0.803616,0,1,0.6154,0,33.32,0.017038556
0.744784,0,4,0.5827,0,31.93,0.036339011
0.518997,0,4,0.4965,0,31.93,0.022528577
0.272068,0,3,0.2938,0,31.93,0.021948765
0.890575,0,10,0.7181,0,31.78,0.025443162
0.854014,0,2,0.6537,0,31.78,0.007920965
0.897833,0,1,0.6127,0,31.78,0.007691376
NA,0,3,0.342,0,69.5,0.069033041
0.778973,1,2,0.3995,1,69.5,0.019755878
0.259653,1,1,0.5292,1,69.5,0.022833735
0.741878,0,4,0.5742,0,78.26,0.023978549
0.685904,0,2,0.6214,0,78.26,0.016242994
0.423153,1,6,0.6154,1,78.26,0.0212695
0.783048,0,0,0.5827,0,78.26,0.011708785
0.511996,0,1,0.4965,0,78.26,0.004753708
0.247029,1,2,0.2938,1,78.26,0.006478196
0.711599,0,0,0.7181,0,78.26,0.009665827
0.913529,0,0,0.6537,0,78.26,0.002814586
0.239193,0,2,0.6127,0,78.26,0.034862467
0.520083,0,4,0.342,0,62.49,0.007933833
0.260855,0,1,0.3995,0,62.49,0.011574674
